<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20151204;000000;67.6800000;68.1200000;67.1660000;68.0360000;1260096000
USD000000TOD;D;20151207;000000;68.3000000;69.1520000;68.2150000;69.0500000;1466323000
USD000000TOD;D;20151208;000000;69.9500000;69.9500000;69.0220000;69.7210000;1569842000
USD000000TOD;D;20151209;000000;69.2000000;69.4910000;69.0410000;69.3330000;1368106000
USD000000TOD;D;20151210;000000;69.2190000;69.3520000;68.5400000;68.8800000;1234111000
USD000000TOD;D;20151211;000000;69.1520000;69.9060000;69.0100000;69.5700000;1609820000
USD000000TOD;D;20151214;000000;70.1920000;71.2000000;70.0260000;70.7800000;1885569000
USD000000TOD;D;20151215;000000;70.4200000;71.0300000;70.0910000;70.1540000;1884738000
USD000000TOD;D;20151216;000000;70.3880000;70.5530000;69.7850000;70.1560000;1788400000
USD000000TOD;D;20151217;000000;70.6480000;70.9840000;70.2420000;70.5700000;1809079000
USD000000TOD;D;20151218;000000;71.1120000;71.4000000;70.7700000;70.9590000;2061233000
USD000000TOD;D;20151221;000000;71.2520000;71.3900000;71.0000000;71.1100000;1370322000
USD000000TOD;D;20151222;000000;71.2000000;71.2150000;70.9500000;71.1700000;1177324000
USD000000TOD;D;20151223;000000;70.8230000;71.1700000;70.4900000;70.5030000;1472923000
USD000000TOD;D;20151224;000000;70.3250000;70.7740000;69.1190000;70.0400000;2701101000
USD000000TOD;D;20151228;000000;70.6800000;72.5010000;70.3590000;71.9200000;2109944000
USD000000TOD;D;20151229;000000;72.2600000;72.8320000;71.8180000;71.9800000;2114836000
USD000000TOD;D;20151230;000000;72.5190000;73.1920000;72.2990000;73.0890000;2663011000
USD000000TOD;D;20160111;000000;75.5660000;76.7510000;75.0400000;75.5760000;1396505000
USD000000TOD;D;20160112;000000;76.8640000;77.0230000;75.9200000;76.0650000;1523958000
USD000000TOD;D;20160113;000000;76.8000000;76.8850000;75.7150000;76.2020000;1409559000
