<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFKS;D;20100111;000000;25.5000000;25.8990000;25.0980000;25.5990000;905900
AFKS;D;20100112;000000;25.4800000;26.2710000;25.4800000;25.9700000;1355000
AFKS;D;20100113;000000;25.9000000;26.5780000;25.4980000;26.5780000;1025700
AFKS;D;20100114;000000;26.6000000;28.7300000;26.6000000;28.7300000;3612900
AFKS;D;20100115;000000;28.4300000;29.1000000;27.9000000;28.4800000;3705800
AFKS;D;20100118;000000;28.3490000;28.9480000;28.1030000;28.1500000;984800
AFKS;D;20100119;000000;28.4860000;28.4870000;27.1120000;27.8490000;2005200
AFKS;D;20100120;000000;27.8490000;27.9850000;26.6640000;26.8000000;1049100
AFKS;D;20100121;000000;27.0000000;27.6000000;26.6000000;26.9000000;866000
AFKS;D;20100122;000000;26.5300000;26.7500000;25.8110000;26.5000000;1770800
AFKS;D;20100125;000000;26.1800000;26.7800000;26.1500000;26.4100000;495300
AFKS;D;20100126;000000;26.4100000;26.4100000;25.0010000;25.6500000;1147700
AFKS;D;20100127;000000;25.1950000;26.7000000;25.1950000;26.6000000;1275500
AFKS;D;20100128;000000;26.1000000;27.1760000;26.1000000;26.6800000;1692300
AFKS;D;20100129;000000;26.1040000;27.6800000;26.1030000;27.2000000;1814800
AFKS;D;20100201;000000;26.9190000;27.0710000;26.6000000;26.9940000;524400
AFKS;D;20100202;000000;27.2200000;27.3800000;26.5010000;26.7000000;1303900
AFKS;D;20100203;000000;27.2570000;27.4900000;26.5500000;26.7000000;1042700
AFKS;D;20100204;000000;26.5250000;26.9700000;25.6470000;25.8880000;1187300
AFKS;D;20100205;000000;24.9400000;25.2890000;24.2520000;24.9420000;1709600
AFKS;D;20100208;000000;25.1190000;25.3970000;24.2500000;24.3990000;815900
AFKS;D;20100209;000000;24.4710000;25.0000000;24.2790000;24.7200000;912800
AFKS;D;20100210;000000;25.0000000;25.3000000;24.6170000;25.2750000;1245500
AFKS;D;20100211;000000;25.7000000;26.4600000;25.1100000;25.4760000;1350300
AFKS;D;20100212;000000;26.0000000;26.0000000;25.0500000;25.2000000;1047000
AFKS;D;20100215;000000;25.6700000;25.8480000;25.1080000;25.3010000;125400
AFKS;D;20100216;000000;25.5840000;26.8380000;25.4160000;26.6500000;1015900
AFKS;D;20100217;000000;26.9990000;27.2000000;26.3000000;26.7460000;962800
AFKS;D;20100218;000000;26.8990000;26.9000000;26.1370000;26.4200000;310100
AFKS;D;20100219;000000;25.5100000;26.5000000;25.1000000;26.2570000;377000
AFKS;D;20100224;000000;26.4000000;26.9000000;25.9000000;26.0790000;263200
AFKS;D;20100225;000000;25.9880000;26.0000000;25.7040000;26.0000000;236200
AFKS;D;20100226;000000;26.0500000;27.2500000;25.9450000;27.0500000;246700
AFKS;D;20100227;000000;27.1000000;27.2800000;26.5010000;26.9500000;75600
AFKS;D;20100301;000000;27.0470000;27.3000000;26.7700000;26.9500000;225000
AFKS;D;20100302;000000;27.1570000;27.1590000;26.7990000;27.0010000;358200
AFKS;D;20100303;000000;27.0020000;27.1730000;26.9360000;27.1480000;171300
AFKS;D;20100304;000000;27.0060000;27.4500000;26.7510000;27.2240000;353300
AFKS;D;20100305;000000;27.3990000;27.9900000;27.3990000;27.8990000;722900
AFKS;D;20100309;000000;28.0000000;28.0900000;27.0150000;27.5510000;439200
AFKS;D;20100310;000000;27.3500000;27.5000000;27.1200000;27.1200000;246800
AFKS;D;20100311;000000;27.2190000;27.4590000;27.0510000;27.3000000;575700
AFKS;D;20100312;000000;27.4960000;28.3510000;27.4500000;28.0370000;1218800
AFKS;D;20100315;000000;27.8600000;28.4000000;27.7900000;28.0500000;1613700
AFKS;D;20100316;000000;28.1000000;28.4700000;28.0050000;28.3000000;403900
AFKS;D;20100317;000000;28.4650000;28.8300000;28.3000000;28.7500000;705900
AFKS;D;20100318;000000;28.7290000;28.9890000;28.4660000;28.8500000;2258500
AFKS;D;20100319;000000;28.8800000;28.9840000;28.1990000;28.3000000;1574100
AFKS;D;20100322;000000;28.3990000;28.4000000;27.3570000;27.6750000;1540300
AFKS;D;20100323;000000;27.6750000;28.1950000;27.5000000;27.9310000;822500
AFKS;D;20100324;000000;27.6510000;28.5000000;27.6510000;28.2500000;1021000
AFKS;D;20100325;000000;27.9950000;28.7500000;27.9950000;28.7300000;663600
AFKS;D;20100326;000000;28.6470000;31.1000000;28.6470000;30.4000000;6961900
AFKS;D;20100329;000000;30.5000000;31.2500000;30.0000000;30.2220000;1022600
AFKS;D;20100330;000000;30.5400000;30.5400000;29.9110000;30.1500000;525200
AFKS;D;20100331;000000;30.2500000;30.2990000;29.7770000;29.8960000;1036300
AFKS;D;20100401;000000;29.8810000;30.6500000;29.8800000;30.3000000;1297800
AFKS;D;20100402;000000;30.3000000;30.6600000;30.0040000;30.2970000;487900
AFKS;D;20100405;000000;30.1510000;30.5560000;30.0500000;30.1570000;494600
AFKS;D;20100406;000000;30.1610000;30.2750000;29.9020000;30.1370000;660400
AFKS;D;20100407;000000;30.2750000;30.2990000;29.7000000;29.9200000;1264000
AFKS;D;20100408;000000;29.7900000;30.3500000;29.7260000;30.2890000;443000
AFKS;D;20100409;000000;30.2990000;30.5200000;30.2990000;30.4400000;750800
AFKS;D;20100412;000000;30.6580000;31.4550000;30.2000000;30.3690000;1172900
AFKS;D;20100413;000000;30.2950000;30.5700000;30.1000000;30.3000000;552300
AFKS;D;20100414;000000;30.5010000;31.8900000;30.5000000;31.8890000;1859700
AFKS;D;20100415;000000;35.0000000;35.8600000;31.5380000;32.4500000;1336900
AFKS;D;20100416;000000;32.1300000;32.1300000;30.9990000;31.0000000;1669500
AFKS;D;20100419;000000;30.5000000;30.7900000;29.0000000;30.3330000;3374000
AFKS;D;20100420;000000;30.1160000;31.4500000;30.1160000;31.1500000;1612800
AFKS;D;20100421;000000;31.3050000;32.3480000;31.2000000;31.2100000;2699300
AFKS;D;20100422;000000;31.4820000;31.4820000;30.1390000;30.3280000;672600
AFKS;D;20100423;000000;30.2200000;30.7600000;29.2050000;30.6300000;613200
AFKS;D;20100426;000000;30.9900000;31.9890000;30.8240000;31.5000000;1580500
AFKS;D;20100427;000000;31.4980000;31.5000000;30.8300000;30.8510000;2057500
AFKS;D;20100428;000000;30.1880000;30.4890000;29.5000000;30.0000000;1701500
AFKS;D;20100429;000000;30.3450000;30.7010000;30.0070000;30.5200000;394800
AFKS;D;20100430;000000;30.5250000;31.0000000;29.9000000;30.2300000;1591600
AFKS;D;20100504;000000;30.2500000;30.5000000;29.6000000;29.7000000;854400
AFKS;D;20100505;000000;29.6980000;29.6990000;28.0510000;28.9930000;666600
AFKS;D;20100506;000000;28.1230000;28.8000000;27.8410000;27.9000000;824100
AFKS;D;20100507;000000;27.1500000;27.1500000;25.7000000;25.7600000;2384500
AFKS;D;20100511;000000;28.2800000;28.3400000;26.9990000;27.2510000;2093000
AFKS;D;20100512;000000;27.0390000;28.4500000;26.9000000;28.4500000;1756500
AFKS;D;20100513;000000;28.4000000;29.4000000;27.5300000;28.0000000;1566300
AFKS;D;20100514;000000;27.8990000;27.9000000;27.0000000;27.3300000;987600
AFKS;D;20100517;000000;26.0300000;27.5890000;24.6030000;27.4500000;1784700
AFKS;D;20100518;000000;27.3100000;27.7770000;27.0000000;27.3670000;773900
AFKS;D;20100519;000000;26.6750000;27.2560000;26.0000000;27.0000000;978700
AFKS;D;20100520;000000;27.0000000;27.4900000;25.5100000;25.5990000;991500
AFKS;D;20100521;000000;25.7800000;26.0410000;25.0000000;25.9000000;867900
AFKS;D;20100524;000000;26.5000000;26.6700000;26.1070000;26.3600000;571500
AFKS;D;20100525;000000;25.6010000;26.0980000;24.6750000;24.7060000;589000
AFKS;D;20100526;000000;25.2990000;25.8990000;25.1000000;25.8990000;462600
AFKS;D;20100527;000000;26.0000000;27.1970000;25.8010000;26.9500000;816400
AFKS;D;20100528;000000;27.4390000;28.0020000;26.9200000;27.8940000;1218500
AFKS;D;20100531;000000;27.9970000;28.9900000;27.9970000;28.6500000;382100
AFKS;D;20100601;000000;28.6000000;28.6990000;27.6540000;28.6500000;168300
AFKS;D;20100602;000000;27.9950000;28.6990000;27.7120000;27.9990000;637400
AFKS;D;20100603;000000;28.4980000;28.7900000;27.9950000;28.0970000;730300
AFKS;D;20100604;000000;28.1340000;28.2500000;26.6200000;27.1050000;260900
AFKS;D;20100607;000000;26.0550000;26.9480000;26.0550000;26.5620000;649800
AFKS;D;20100608;000000;26.9420000;27.1000000;26.0100000;26.0200000;269200
AFKS;D;20100609;000000;26.5050000;26.8670000;26.1130000;26.6610000;195600
AFKS;D;20100610;000000;27.0990000;27.1550000;26.5500000;27.1500000;296300
AFKS;D;20100611;000000;27.3980000;27.6870000;26.6480000;27.0300000;194300
AFKS;D;20100615;000000;27.5000000;28.2500000;27.3720000;28.0480000;217400
AFKS;D;20100616;000000;28.6820000;28.9290000;27.8010000;28.6000000;920400
AFKS;D;20100617;000000;28.6000000;28.7990000;27.9010000;28.0000000;503600
AFKS;D;20100618;000000;28.6000000;28.6000000;27.9500000;28.2000000;386200
AFKS;D;20100621;000000;28.6200000;29.1700000;28.3030000;29.0000000;612000
AFKS;D;20100622;000000;28.7500000;28.7510000;28.0100000;28.3810000;397100
AFKS;D;20100623;000000;28.2510000;28.6000000;27.6300000;27.7480000;585500
AFKS;D;20100624;000000;27.9540000;28.2240000;27.4990000;27.5570000;461900
AFKS;D;20100625;000000;27.5000000;27.8500000;27.0000000;27.4150000;557000
AFKS;D;20100628;000000;27.6890000;27.8390000;27.3320000;27.4970000;133400
AFKS;D;20100629;000000;27.0100000;27.4000000;25.9990000;26.2800000;1010200
AFKS;D;20100630;000000;26.2800000;26.5300000;25.7550000;26.0810000;217200
AFKS;D;20100701;000000;25.9400000;25.9400000;25.1890000;25.3000000;693300
AFKS;D;20100702;000000;25.9390000;26.6020000;25.4990000;26.5880000;472400
AFKS;D;20100705;000000;26.5000000;27.0000000;26.1780000;26.3000000;395300
AFKS;D;20100706;000000;26.4010000;27.1000000;26.4010000;26.5270000;892300
AFKS;D;20100707;000000;26.3000000;26.4000000;25.7220000;26.0060000;380000
AFKS;D;20100708;000000;26.6360000;26.7750000;26.3120000;26.4500000;132100
AFKS;D;20100709;000000;26.7980000;26.8000000;26.3000000;26.7970000;192100
AFKS;D;20100712;000000;26.4900000;27.3800000;26.1470000;27.3800000;185700
AFKS;D;20100713;000000;27.4000000;28.5010000;26.6850000;28.0000000;1144500
AFKS;D;20100714;000000;28.5020000;28.5020000;27.7210000;27.8300000;186000
AFKS;D;20100715;000000;27.9300000;27.9300000;27.2350000;27.4070000;270200
AFKS;D;20100716;000000;27.2350000;27.5990000;27.0000000;27.0010000;92900
AFKS;D;20100719;000000;26.8000000;27.0000000;26.3000000;26.3000000;379000
AFKS;D;20100720;000000;26.4000000;26.8950000;26.1130000;26.2430000;263500
AFKS;D;20100721;000000;26.6340000;26.6350000;26.2610000;26.3000000;389700
